2009,1,6,35.64
2009,2,7,37.62
2009,3,7,37.62
2009,4,7,37.62
2009,5,7,37.62
2009,6,7,37.62
2009,7,7,37.62
2009,8,7,37.62
2009,9,7,37.62
2009,10,7,37.62
2009,11,7,37.62
2009,12,7,37.62
2010,1,7,52.62
2010,2,7,46.62
2010,3,7,44.62
2010,4,7,37.62
2010,5,7,37.62
2010,6,7,37.62
2010,7,7,37.62
2010,8,7,37.62
2010,9,6,36.63
2010,10,7,37.62
2010,11,7,37.62
2010,12,7,37.62
2011,1,7,37.62
2011,2,7,37.62
2011,3,7,37.62
2011,4,7,51.62
2011,5,7,42.62
2011,6,7,50.62
2011,7,7,37.62
2011,8,7,37.62
2011,9,7,37.62
2011,10,7,37.62
2011,11,6,23.76
2011,12,7,37.62
2012,1,7,37.62
2012,2,7,37.62
2012,3,7,37.62
2012,4,7,37.62
2012,5,7,37.62
2012,6,7,37.62
2012,7,7,39.62
2012,8,7,47.62
2012,9,6,46.71
2012,10,7,42.62
2012,11,7,37.62
2012,12,7,37.62
2013,1,7,37.62
2013,2,5,27.72
2013,3,7,37.62
2013,4,5,33.66
2013,5,7,37.62
2013,6,7,37.62
2013,7,7,37.62
2013,8,7,37.62
2013,9,7,37.62
2013,10,7,37.62
2013,11,7,49.62
2013,12,7,38.62
